sector,amount_($m),hq,series,source,date,company,source_page
Fintech - Credit Card/Lending,11.44,Pune,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-onecard-raises-rs-95-cr-debt-from-alteria/'}",2024-01-04,OneCard,874b2efb487d828fb04f01ed59487d0a
Healthtech,0.5,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/larkai-healthcare-raises-500k-in-seed-round/'}",2024-01-03,Larkai Healthcare,874b2efb487d828fb04f01ed59487d0a
Fintech,5.2,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-bnpl-startup-salaryse-raises-5-2-mn-from-surge-and-pravega/'}",2024-01-02,SalarySe,874b2efb487d828fb04f01ed59487d0a
Healthtech,7.5,Bhubaneshwar,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-curebay-raises-7-5-mn-from-elevar-equity/'}",2024-01-05,CureBay,874b2efb487d828fb04f01ed59487d0a
E-Commerce - Grocery and Milk,20.0,Gurugram,Series E,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/country-delight-raises-20-mn-in-series-e-round/'}",2024-01-05,Country Delight,874b2efb487d828fb04f01ed59487d0a
Devotional,0.72,Noida,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/devdham-raises-seed-round-from-titan-capital-and-others/'}",2024-01-03,DevDham,874b2efb487d828fb04f01ed59487d0a
Hospitality - Food & Beverages,10.0,Bengaluru,Bridge Round - Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/vro-hospitality-raises-10-mn-led-by-axis-bank-and-gruhas/'}",2024-01-03,VRO Hospitality,874b2efb487d828fb04f01ed59487d0a
Edtech,,Bengaluru,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://cionews.co.in/maidaan-raises-undisclosed-amount-in-pre-seed-round/'}",2024-01-04,Maidaan,874b2efb487d828fb04f01ed59487d0a
Co-Living,1.2,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/co-living-startup-settl-raises-rs-10-cr-in-pre-series-a-round/'}",2024-01-02,Settl,874b2efb487d828fb04f01ed59487d0a
Healthcare,0.24,Hyderabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://www.vccircle.com/totalemergency-network-maidaan-raise-early-stage-funding'}",2024-01-04,Total Emergency Network,874b2efb487d828fb04f01ed59487d0a
Logistics,11.24,Chennai,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-tiger-global-backed-wiz-freight-kicks-off-series-b-round/'}",2024-01-04,Wiz Freight,874b2efb487d828fb04f01ed59487d0a
B2B E-Commerce - Seafood,13.25,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-captain-fresh-raises-over-13-mn-in-fresh-tranche/'}",2024-01-03,Captain Fresh,874b2efb487d828fb04f01ed59487d0a
Fuel Aggregator,0.12,Noida,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/gails-pankh-backs-fuel-aggregator-startup-nawgati/'}",2024-01-04,Nawgati,874b2efb487d828fb04f01ed59487d0a
E-Commerce - Health and Wellness,1.0,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/kl-rahul-backed-hyugalife-raises-1-mn/'}",2024-01-03,HyugaLife,874b2efb487d828fb04f01ed59487d0a
SaaS - Insurance,4.5,Mumbai,Series A bridge,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/riskcovry-nets-4-5-mn-funding-from-morphosis-venture-capital-iifl/'}",2024-01-08,Riskcovry,48db2efb487d8251b0fa01d5a476b2f0
Edtech,7.0,Noida,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/edtech-startup-convegenius-raises-7-mn-in-series-a-round/'}",2024-01-11,ConveGenius,48db2efb487d8251b0fa01d5a476b2f0
Logistics - EV,1.3,Surat,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/evify-raises-1-3-mn-in-pre-series-a-round/'}",2024-01-10,EVIFY,48db2efb487d8251b0fa01d5a476b2f0
EV,3.0,Bengaluru,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/yulu-raises-rs-25-cr-debt-from-northern-arc/'}",2024-01-12,Yulu,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - D2C Personal Health,2.7,Mumbai,Debt + Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/d2c-intimacy-brand-mymuse-raises-pre-series-a-round/'}",2024-01-09,MyMuse,48db2efb487d8251b0fa01d5a476b2f0
Healthcare - Dental and Cosmetic,16.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/toothsi-parent-makeo-scoops-up-16-mn-in-a-new-round/'}",2024-01-09,MakeO,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - Kids Clothing,1.0,Noida,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/plant-based-kids-clothing-brand-kidbea-raises-1-mn-led-by-vcats/'}",2024-01-08,Kidbea,48db2efb487d8251b0fa01d5a476b2f0
Spacetech,6.0,Ahmedabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/piersight-raises-6-mn-in-seed-round-led-by-alpha-wave-and-elevation/'}",2024-01-09,PierSight Space,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - D2C Children Snacks Brand,7.1,Gurugram,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-anushka-sharma-backed-slurrp-farm-raises-7-2-mn-in-new-round/'}",2024-01-08,Slurrp Farm,48db2efb487d8251b0fa01d5a476b2f0
Edtech,0.186,Delhi,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/edtech-startup-ambitio-raises-pre-seed-round/'}",2024-01-10,Ambitio,48db2efb487d8251b0fa01d5a476b2f0
Healthcare,3.5,Pune,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/zerodha-backed-rainmatter-invests-in-fittr/'}",2024-01-09,Fittr,48db2efb487d8251b0fa01d5a476b2f0
Manufacturing,6.3,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/karkhana-io-raises-6-3-mn-in-series-a-round/'}",2024-01-09,Karkhana.io,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - Sustainable Clothing Brand,0.19,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/beyondseed-leads-seed-round-in-unirec/'}",2024-01-09,UNIREC,48db2efb487d8251b0fa01d5a476b2f0
SaaS - Spa Management,1.98,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/saas-startup-glamplus-raises-rs-16-5-cr-in-pre-series-a-round/'}",2024-01-10,Glamplus,48db2efb487d8251b0fa01d5a476b2f0
Robotics - Logistics,1.8,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/accio-robotics-raises-1-8-mn-in-pre-series-a-round/'}",2024-01-09,Accio Robotics,48db2efb487d8251b0fa01d5a476b2f0
SaaS - HRTech,0.13,Bengaluru,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/getvantage-invests-in-hrtech-platform-incruiter/'}",2024-01-08,InCruiter,48db2efb487d8251b0fa01d5a476b2f0
Fintech,0.55,Chennai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/fintech-startup-mylapay-raises-rs-4-6-cr-in-seed-round-led-by-cdm-capital/'}",2024-01-10,Mylapay,48db2efb487d8251b0fa01d5a476b2f0
Fintech - Investment,5.0,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/exclusive-fisdom-raises-around-5-mn-from-existing-investor-payu/'}",2024-01-09,Fisdom,48db2efb487d8251b0fa01d5a476b2f0
Healthcare - Mental Health,4.4,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-mental-health-startup-amaha-raises-4-4-mn-in-series-a/'}",2024-01-09,Amaha,48db2efb487d8251b0fa01d5a476b2f0
Health and Wellness,1.2,Pune,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/flexifyme-raises-seed-round-led-by-ivycap-and-flipkart-ventures/'}",2024-01-11,FlexifyMe,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - Jewellery,0.65,Delhi,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/fashion-jewellery-brand-salty-raises-rs-5-4-cr-from-anicut-capital-others/'}",2024-01-11,Salty,48db2efb487d8251b0fa01d5a476b2f0
Dairy,12.0,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-akshayakalpa-initiates-new-round-with-12-mn-led-by-a91-partners/'}",2024-01-10,Akshayakalpa Organic,48db2efb487d8251b0fa01d5a476b2f0
E-Commerce - D2C Bakery Brand,3.97,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/the-bakers-dozen-raises-rs-33-cr-led-by-wipro-consumer-care-ventures/'}",2024-01-11,The Baker’s Dozen,48db2efb487d8251b0fa01d5a476b2f0
Cleantech,4.0,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/cleantech-startup-indra-raises-4-mn-in-series-a-round/'}",2024-01-18,Indra,95bb2efb487d82f9a5ee013f391bf0e9
SaaS - Digital Commerce,1.26,Hyderabad,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/adya-ai-raises-rs-10-5-cr-in-pre-series-a-round/'}",2024-01-16,Adya.ai,95bb2efb487d82f9a5ee013f391bf0e9
Edtech - Fintech,24.65,Bengaluru,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/exclusive-stockgro-raises-rs-205-cr-debt-from-trifecta-and-hindustan-media/'}",2024-01-17,StockGro,95bb2efb487d82f9a5ee013f391bf0e9
IoT - Aquaculture,6.0,Vijaywada,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/aquaexchange-raises-6-mn-in-series-a-led-by-ocean-14-capital/'}",2024-01-19,AquaExchange,95bb2efb487d82f9a5ee013f391bf0e9
Fintech - Credit Card,14.43,Pune,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/onecards-parent-secures-14-4-mn-from-alteria-capital/'}",2024-01-15,OneCard,95bb2efb487d82f9a5ee013f391bf0e9
E-Commerce,4.25,Delhi,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/buyeazzy-raises-4-25-mn-in-series-a-round/'}",2024-01-18,BuyEazzy,95bb2efb487d82f9a5ee013f391bf0e9
Manufacturing,5.4,Gurugram,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/groyyo-raises-5-4-mn-in-debt-round-from-lighthouse-and-trifecta/'}",2024-01-19,Groyyo,95bb2efb487d82f9a5ee013f391bf0e9
Manufacturing - Spacetech,2.75,Hyderabad,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/jeh-aerospace-raises-2-75-million-in-funding-round-led-by-general-catalyst/articleshow/106937736.cms'}",2024-01-18,Jeh Aerospace,95bb2efb487d82f9a5ee013f391bf0e9
Quick Service Restaurant,42.0,Kolkata,Series D,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/wow-momo-raises-42-mn-led-by-khazanah/'}",2024-01-16,Wow Momo,95bb2efb487d82f9a5ee013f391bf0e9
E-Commerce - Health and Wellness Products,1.2,Chandigarh,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/anicut-capital-leads-rs-10-cr-round-in-zingavita/'}",2024-01-16,Zingavita,95bb2efb487d82f9a5ee013f391bf0e9
Fintech - Lending,3.0,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/inprime-raises-3-mn-led-by-matrix-partners-india/'}",2024-01-16,InPrime Finserv,95bb2efb487d82f9a5ee013f391bf0e9
Fintech - Insurance,1.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/insurtech-startup-bharatsure-raises-1-mn-led-by-capital-a/'}",2024-01-18,BharatSure,95bb2efb487d82f9a5ee013f391bf0e9
Drone,0.72,Bhubaneswar,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/drone-startup-bonv-aero-raises-rs-6-cr-led-by-ipv/'}",2024-01-18,Bonv Aero,95bb2efb487d82f9a5ee013f391bf0e9
Social Media,0.12,Pre-Seed,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/medial-raises-120k-pre-seed-round/'}",2024-01-17,Medial,95bb2efb487d82f9a5ee013f391bf0e9
EV - Logistics,6.0,Delhi,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/alt-mobility-raises-6-mn-led-by-shell-ventures-and-others/'}",2024-01-19,Alt Mobility,95bb2efb487d82f9a5ee013f391bf0e9
Fintech,4.2,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/upswing-raises-4-2-mn-in-pre-series-a-round/'}",2024-01-17,UpSwing,95bb2efb487d82f9a5ee013f391bf0e9
Fintech,11.0,Noida,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/finagg-raises-11-mn-in-series-a-led-by-blue-orchard-and-tata-capital/'}",2024-01-18,FinAGG,95bb2efb487d82f9a5ee013f391bf0e9
E-Commerce - Agritech - Fruits and Vegetables,3.75,Ahmednagar,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/agritech-startup-kisankonnect-raises-rs-31-cr-in-pre-series-a/'}",2024-01-16,KisanKonnect,95bb2efb487d82f9a5ee013f391bf0e9
E-Commerce - Fashion,5.4,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/fast-fashion-brand-newme-raises-5-mn-in-seed-round/'}",2024-01-25,Newme,1bcb2efb487d827f980b81357eac950a
Fintech - NBFC Lending,15.0,Jaipur,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/namdev-finvest-secures-15-mn-in-series-b-round/'}",2024-01-22,Namdev Finvest,1bcb2efb487d827f980b81357eac950a
Fintech - NBFC Lending,10.8,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/climate-focussed-nbfc-ecofy-secures-rs-90-crore-in-equity-funding-from-dutch-bank-fmo/articleshow/107113031.cms'}",2024-01-24,Ecofy,1bcb2efb487d827f980b81357eac950a
AI,50.0,Bengaluru,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/ola-founder-bhavish-aggarwals-krutrim-ai-turns-unicorn-with-50-million-funding-from-matrix-others/articleshow/107166669.cms'}",2024-01-27,Krutrim AI,1bcb2efb487d827f980b81357eac950a
Fintech - NBFC Lending,75.0,Hyderabad,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/fintech-nbfc-vivifi-raises-75-mn-in-series-b-round/'}",2024-01-24,Vivifi India Finance,1bcb2efb487d827f980b81357eac950a
Gaming,2.7,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/gaming-startup-stan-raises-2-7-mn-in-pre-series-a-round/'}",2024-01-22,STAN,1bcb2efb487d827f980b81357eac950a
Fintech - Investment Platform,1.7,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/fixerra-raises-rs-14-cr-in-seed-round/'}",2024-01-24,Fixerra,1bcb2efb487d827f980b81357eac950a
Fintech - Stock Trading,0.168,Mumbai,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/stock-trading-app-opigo-secures-pre-seed-round/'}",2024-01-23,OpiGo,1bcb2efb487d827f980b81357eac950a
E-Commerce - D2C Nutritional Supplements Brand,0.397,Hyderabad,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/nutrition-brand-earthful-raises-rs-3-3-crore-in-funding-from-green-ivy-ventures-others/articleshow/107165546.cms'}",2024-01-26,Earthful,1bcb2efb487d827f980b81357eac950a
Interior Design,2.5,,Pre-Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/flaer-bags-2-5-mn-to-supply-home-interior-materials/'}",2024-01-24,Flaer Bags,1bcb2efb487d827f980b81357eac950a
B2B E-Commerce - Construction Materials,12.0,Thane,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/exclusive-infra-market-raises-12-mn-debt-from-sk-finance/'}",2024-01-25,Infra.Market,1bcb2efb487d827f980b81357eac950a
Cybersecurity,1.9,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/cleartrust-raises-1-9-mn-in-pre-series-a-round/'}",2024-01-29,ClearTrust,f81b2efb487d83a7a725011c92ac6bd7
EV,3.0,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/electrifi-mobility-raises-rs-25-cr-in-seed-round/'}",2024-01-30,Electrifi Mobility,f81b2efb487d83a7a725011c92ac6bd7
Biotech,2.5,Bengaluru,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/algobio-raises-2-5-mn-in-pre-series-a-round/'}",2024-02-03,Algorithmic Biologics,f81b2efb487d83a7a725011c92ac6bd7
EV - Ride Hailing,25.0,Gurugram,Debt + Equity,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/blusmart-raises-25-mn-from-swiss-based-responsability/'}",2024-01-29,BluSmart,f81b2efb487d83a7a725011c92ac6bd7
Proptech - Fintech,3.0,Noida,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/black-opal-group-raises-3-mn-from-sbi-and-hdfc/'}",2024-01-30,Blackopal Group,f81b2efb487d83a7a725011c92ac6bd7
AI,6.5,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/ai-security-startup-p0-raises-6-5-mn-in-seed-round/'}",2024-01-31,p0,f81b2efb487d83a7a725011c92ac6bd7
Aquaculture,4.0,Chennai,Pre-Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/aquaconnect-secures-4-mn-to-transform-indian-aquaculture/'}",2024-01-31,Aquaconnect,f81b2efb487d83a7a725011c92ac6bd7
SaaS,15.0,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://yourstory.com/2024/01/employee-commute-platform-moveinsync-raises-15-million-bessemer-venture'}",2024-01-29,MoveInSync,f81b2efb487d83a7a725011c92ac6bd7
Logistics,15.0,Chennai,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/supply-chain-startup-wiz-freight-raises-15-mn-in-ongoing-series-b-round/'}",2024-02-01,Wiz Freight,f81b2efb487d83a7a725011c92ac6bd7
E-Commerce - Babycare brand,0.6,Jaipur,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/moms-home-raises-rs-5-cr-in-pre-series-a-round/'}",2024-01-29,Moms Home,f81b2efb487d83a7a725011c92ac6bd7
Retail Tech,,Bengaluru,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/01/arzooo-raises-funds-in-extended-series-b/'}",2024-01-29,Arzooo,f81b2efb487d83a7a725011c92ac6bd7
Healthtech,2.0,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/omidyar-leads-2-mn-seed-round-in-neodocs/'}",2024-02-08,Neodocs,9bbb2efb487d829ca0828196fe8594a5
Fintech,3.4,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/cashinvoice-raises-3-4-mn-in-series-a-round/'}",2024-02-07,Cashinvoice,9bbb2efb487d829ca0828196fe8594a5
Home Automation,12.0,Hyderabad,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/smart-home-automation-company-keus-raises-12-mn/'}",2024-02-05,Keus,9bbb2efb487d829ca0828196fe8594a5
E-Commerce - Premium Refurbished Smartphones,3.0,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/controlz-secures-3-mn-in-seed-round/'}",2024-02-07,ControlZ,9bbb2efb487d829ca0828196fe8594a5
Co-working,7.0,Ahmedabad,Equity + Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/devx-raises-7-mn-in-equity-and-debt-round/'}",2024-02-05,DevX,9bbb2efb487d829ca0828196fe8594a5
Biotech - Healthtech,0.72,Mumbai,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/piscium-raises-series-a-round-led-by-unicorn-india-ventures/'}",2024-02-07,Piscium,9bbb2efb487d829ca0828196fe8594a5
Services - Senior Citizens,4.2,Mumbai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/senior-citizen-app-khyaal-raises-4-2-mn-in-seed-round/'}",2024-02-06,Khyaal,9bbb2efb487d829ca0828196fe8594a5
Video Commerce,1.1,Vadodara,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/swirl-secures-1-1-mn-in-seed-round/'}",2024-02-06,Swirl,9bbb2efb487d829ca0828196fe8594a5
Deeptech,0.47,Chennai,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/torus-robotics-raises-470k-seed-round-from-tnifmc/'}",2024-02-07,Torus Robotics,9bbb2efb487d829ca0828196fe8594a5
Social Media,6.25,Bengaluru,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/exclusive-dailyhunts-parent-verse-bags-rs-50-cr-debt/'}",2024-02-07,VerSe Innovation,9bbb2efb487d829ca0828196fe8594a5
Healthtech,0.5,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/agetech-startup-ivory-raise-500k/'}",2024-02-08,Ivory,9bbb2efb487d829ca0828196fe8594a5
Sports Tech,11.13,Mumbai,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/omidyar-leads-pre-series-a-round-in-sportvot/'}",2024-02-05,SportVot,9bbb2efb487d829ca0828196fe8594a5
EV,40.0,Bengaluru,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/ev-startup-river-bags-40-mn-in-series-b-led-by-yamaha-motor-corp/'}",2024-02-06,River,9bbb2efb487d829ca0828196fe8594a5
E-Commerce - D2C Petcare Brand,0.4,Thane,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/papa-pawsome-raises-400k-in-seed-round-led-by-ian/'}",2024-02-05,Papa Pawsome,9bbb2efb487d829ca0828196fe8594a5
Fintech - NBFC Cleantech Lending,5.0,Parel,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://economictimes.indiatimes.com/tech/funding/metafin-secures-5-million-in-funding-from-prime-venture-partners-others/articleshow/107483291.cms'}",2024-02-07,Metafin,9bbb2efb487d829ca0828196fe8594a5
E-Commerce - D2C homecare brand,0.72,Delhi,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/koparo-raises-rs-6-cr-from-4p-capital-and-shark-tank-india/'}",2024-02-07,Koparo,9bbb2efb487d829ca0828196fe8594a5
Study Abroad Platform,3.0,Mumbai,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://inc42.com/buzz/adventum-student-living-nets-3-mn-to-facilitate-overseas-study-opportunities/'}",2024-02-06,Adventum Student Living,9bbb2efb487d829ca0828196fe8594a5
Fintech - NBFC Lending for EVs,17.0,Delhi,Series B,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/mufin-green-finance-raises-rs-140-cr-in-series-b-round/'}",2024-02-06,Mufin Green Finance,9bbb2efb487d829ca0828196fe8594a5
EV - Ridehailing,2.5,Kolkata,Pre-Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://www.thehindubusinessline.com/companies/snap-e-cabs-raises-25-million-in-a-pre-series-a-round/article67813571.ece'}",2024-02-05,Snap-E Cabs,9bbb2efb487d829ca0828196fe8594a5
Consumer Electronics - AI-powered Home Appliances,4.0,Bengaluru,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/upliance-ai-raises-4-mn-led-by-khosla-ventures/'}",2024-02-08,Upliance.ai,9bbb2efb487d829ca0828196fe8594a5
E-Commerce,18.0,Delhi,Debt,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/globalbees-raises-18-mn-in-debt-from-avendus/'}",2024-02-07,GlobalBees,9bbb2efb487d829ca0828196fe8594a5
E-Commerce - Creator Focused,7.0,Gurugram,Series A,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/exclusive-wishlink-raises-7-mn-from-fundamentum-and-elevation/'}",2024-02-05,Wishlink,9bbb2efb487d829ca0828196fe8594a5
SaaS,1.2,Gurugram,Seed,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/merak-ventures-leads-1-2-mn-round-in-saas-platform-rupyz/'}",2024-02-05,Rupyz,9bbb2efb487d829ca0828196fe8594a5
Spacetech,,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/spacetech-startup-etherealx-raises-first-funding-round/'}",2024-02-05,EtherealX,9bbb2efb487d829ca0828196fe8594a5
Fintech - Lending for Two Wheelers,10.0,Bengaluru,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/two-wheeler-ev-finance-platform-oto-raises-10-mn/'}",2024-02-06,OTO,9bbb2efb487d829ca0828196fe8594a5
Agritech - E-Commerce,8.4,Bengaluru,Series C,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/exclusive-agritech-startup-bighaat-kicks-off-series-c-round/'}",2024-02-07,BigHaat,9bbb2efb487d829ca0828196fe8594a5
Medtech,,Pune,,"{'id': 'hAIs', 'type': 'url', 'url': 'https://entrackr.com/2024/02/orbimed-invests-in-wheelchair-maker-arcatron/'}",2024-02-15,Arcatron Mobility,2e7b2efb487d821ca09501663460e4fc
